Date,Actual,LSTM_Pred,GRU_Pred
2023-05-31,203.92999267578125,195.55467,198.65627
2023-06-01,207.5200042724609,200.09686,203.62157
2023-06-02,213.97000122070312,204.88814,207.75958
2023-06-03,217.6100006103516,210.18669,213.20186
2023-06-04,221.30999755859372,215.45178,217.62772
2023-06-05,224.57000732421875,220.40483,221.56363
2023-06-06,234.8600006103516,224.84386,225.00761
2023-06-07,244.3999938964844,230.2417,232.54492
2023-06-08,249.83000183105472,237.06573,241.60855
2023-06-09,258.7099914550781,244.4297,248.70224
2023-06-10,256.7900085449219,252.49776,256.86072
2023-06-11,255.89999389648443,258.74594,258.74237
2023-06-12,260.5400085449219,262.39554,258.38953
2023-06-13,274.45001220703125,264.79794,260.71045
2023-06-14,259.4599914550781,269.0883,270.28708
2023-06-15,264.6099853515625,269.89462,264.8744
2023-06-16,256.6000061035156,269.87747,265.25858
2023-06-17,241.05000305175778,267.49106,260.2654
2023-06-18,250.2100067138672,260.86105,248.27623
2023-06-19,256.239990234375,255.59988,248.81454
2023-06-20,257.5,253.53435,253.34341
2023-06-21,261.7699890136719,253.95702,256.46234
2023-06-22,279.82000732421875,256.67532,260.47733
2023-06-23,282.4800109863281,264.22076,273.4698
2023-06-24,276.5400085449219,273.39325,280.70294
2023-06-25,274.42999267578125,280.1082,279.47665
2023-06-26,269.6099853515625,283.48514,276.96985
2023-06-27,269.7900085449219,283.06946,272.53174
2023-06-28,271.989990234375,280.68497,270.68027
2023-06-29,277.8999938964844,278.23172,271.40277
2023-06-30,281.3800048828125,277.63498,275.6093
2023-07-01,290.3800048828125,278.94836,279.6971
2023-07-02,293.3399963378906,283.1212,287.0695
2023-07-03,291.260009765625,288.5772,291.91208
2023-07-04,262.8999938964844,292.98386,292.24933
2023-07-05,260.0199890136719,288.98743,273.7933
2023-07-06,269.0599975585937,280.89987,263.89136
2023-07-07,265.2799987792969,274.5936,265.84106
2023-07-08,264.3500061035156,269.74646,265.03613
2023-07-09,255.7100067138672,266.63837,264.3911
2023-07-10,266.44000244140625,263.23453,258.7957
2023-07-11,267.42999267578125,262.98047,263.1994
2023-07-12,261.07000732421875,264.68643,266.04858
2023-07-13,254.11000061035156,265.68665,263.30237
2023-07-14,259.32000732421875,264.5744,257.5804
2023-07-15,253.86000061035156,263.80145,258.36728
2023-07-16,251.4499969482422,262.1035,255.54158
2023-07-17,249.69999694824222,259.77826,252.90521
2023-07-18,242.19000244140622,257.2396,250.78638
2023-07-19,245.33999633789065,253.46664,245.34494
2023-07-20,242.64999389648443,250.59482,245.05743
2023-07-21,239.75999450683597,248.20929,243.5592
2023-07-22,232.9600067138672,245.99437,241.28244
2023-07-23,225.6000061035156,242.8866,236.18657
2023-07-24,219.22000122070312,238.41393,229.50792
2023-07-25,215.4900054931641,232.83508,222.83788
2023-07-26,231.27999877929688,227.08551,217.91437
2023-07-27,233.19000244140625,225.7796,225.73514
2023-07-28,236.86000061035156,227.50136,231.03787
2023-07-29,230.0399932861328,231.37646,235.70996
2023-07-30,238.58999633789065,234.21053,233.39594
2023-07-31,238.82000732421878,237.77249,237.29352
2023-08-01,257.17999267578125,240.98164,239.16243
2023-08-02,256.8999938964844,247.3424,251.24129
2023-08-03,258.0799865722656,253.95557,256.4256
2023-08-04,245.009994506836,259.57016,258.9622
2023-08-05,256.489990234375,260.3989,251.38106
2023-08-06,251.9199981689453,261.00308,254.82292
2023-08-07,251.4900054931641,260.155,253.6011
2023-08-08,248.5,258.59515,252.74373
2023-08-09,273.5799865722656,256.28372,250.46516
2023-08-10,267.4800109863281,259.72906,265.1602
2023-08-11,271.29998779296875,264.05576,268.0286
2023-08-12,276.0400085449219,268.89444,271.2239
2023-08-13,274.3900146484375,274.0276,275.1916
2023-08-14,265.2799987792969,277.75906,275.56396
2023-08-15,266.5,277.74106,269.6225
2023-08-16,262.5899963378906,275.99295,267.6093
2023-08-17,255.6999969482422,272.74542,264.3653
2023-08-18,244.88000488281247,267.84912,258.7496
2023-08-19,246.9900054931641,260.7551,249.6655
2023-08-20,244.1199951171875,254.63126,247.26096
2023-08-21,240.49999999999997,249.74048,244.89954
2023-08-22,246.3800048828125,245.84258,241.96603
2023-08-23,250.2200012207031,244.684,244.56412
2023-08-24,251.60000610351557,246.12025,248.38986
2023-08-25,246.52999877929688,249.02078,251.03499
2023-08-26,261.1600036621094,251.03044,248.9335
2023-08-27,260.04998779296875,255.44476,256.95532
2023-08-28,260.5299987792969,259.90924,259.86942
2023-08-29,259.6700134277344,263.5675,261.1954
2023-08-30,263.6199951171875,265.75388,260.94836
2023-08-31,262.989990234375,267.50974,263.13107
2023-09-01,258.8699951171875,268.4161,263.61307
2023-09-02,251.1199951171875,267.6682,261.10562
2023-09-03,253.91999816894528,264.39517,255.0273
2023-09-04,254.8500061035156,261.12872,254.13152
2023-09-05,242.67999267578125,258.75055,254.56728
2023-09-06,220.1100006103516,254.6392,247.33105
2023-09-07,211.9900054931641,245.6121,230.14807
2023-09-08,212.0800018310547,234.36395,217.75273
2023-09-09,216.5200042724609,224.43251,212.94368
2023-09-10,212.4199981689453,218.22249,214.3443
2023-09-11,205.75999450683597,214.45557,213.20853
2023-09-12,207.3000030517578,211.49538,208.93721
2023-09-13,197.3600006103516,209.95834,208.0352
2023-09-14,200.83999633789065,207.51665,201.9088
2023-09-15,205.66000366210935,205.84055,201.28969
2023-09-16,218.50999450683597,205.863,204.22394
2023-09-17,219.9600067138672,209.41109,213.59338
2023-09-18,219.2700042724609,214.50977,218.97316
